"Series","Shape","Color","TOTAL_SF"
"Burton","6""x24""","BT02-Walnut","1172181.6"
"Burton","6""x24""","BT01-Oak","474904.8"
"Marble Folio","12""x24""","MA01-Statuary","129295.03"
"Ranch Wood","8""x48""","RW01-Beige","129035.45"
"Ranch Wood","8""x48""","RW04-Warm Brown","115673.6"
"Orvieto","12""x24""","OR03-Gray","112875.63"
"Preeminent","18""x36""","PR01-Bianco","88141.69"
"Townscape","12""x24""","TS03-Dark Gray","83692.47"
"Ranch Wood","8""x48""","RW02-Light Gray","82339.98"
"Marble Folio","12""x24""","MA02-Daino Reale","80021.34"
"Aegean","12""x24""","AE01-Ivory","75668.65"
"Marble Folio","12""x24""","MA04-Marfil","73949.26"
"Aegean","12""x24""","AE02-Light Gray","71703.21"
"Ranch Wood","8""x48""","RW03-Dark Gray","64162.7"
"Townscape","12""x24""","TS02-Light Gray","63663.9"
"Marble Folio","12""x24""","MA03-Frost","61485.85"
"Townscape","12""x24""","TS01-Beige","61231.97"
"Ranch Wood","6""x24""","RW03-Dark Gray","57446.1"
"NO.12","12""x24""","NB50-Super White","55593.61"
"NO.5","12""x24""","NB01-Ivory","54292.45"
"Ranch Wood","6""x24""","RW02-Light Gray","54059.4"
"Preeminent","18""x18""","PR01-Bianco","52132.52"
"Ranch Wood","6""x24""","RW01-Beige","51737.7"
"Ranch Wood","6""x24""","RW04-Warm Brown","51215.85"
"Orvieto","12""x24""","OR01-Ivory","49691.92"
"Orvieto","12""x24""","OR02-Beige","48313.31"
"NO.5","12""x24""","NB04-Dark Gray","47027.64"
"Ranch Wood","8""x48""","RW05-Dark Brown","46037.06"
"Marble Folio","24""x24""","MA04-Marfil","43991.6"
"NO.9","12""x24""","NB13-Toffee","43015.73"
"Ranch Wood","6""x48""","RW04-Warm Brown","41488.48"
"Marble Folio","24""x24""","MA01-Statuary","40676.74"
"NO.9","12""x24""","NB14-Black","40026.16"
"Time","12""x24""","TM02-Gray","39096.76"
"Fabric Folio","12""x24""","FB02-Silver","35967.78"
"Ranch Wood","6""x24""","RW05-Dark Brown","35730.75"
"Aegean","12""x24""","AE03-Light Brown","34542.7"
"Fabric Folio","12""x24""","FB01-Ivory","32250.18"
"Time","12""x24""","TM01-Beige","32110.77"
"Mars Stone","12""x24""","MS02-Ivory","31413.72"
"Mars Stone","12""x24""","MS03-Light Gray","29756.29"
"Mars Stone","12""x24""","MS05-Dark Gray","27634.16"
"NO.12","6""x24""","NB50-Super White","25517.4"
"Mars Stone","12""x24""","MS01-White","25171.25"
"Marble Folio","24""x24""","MA03-Frost","25047.33"
"Ranch Wood","6""x48""","RW01-Beige","25003.44"
"Ranch Wood","6""x48""","RW02-Light Gray","24616.24"
