Shape,Shape code,Color,MMYYYY,AVG,TOTAL_SF
"12""x24""",13,NB01-Ivory,72017,1.16,9347.01
"12""x24""",13,NB13-Toffee,82017,0.89,7519.19
"12""x24""",13,NB01-Ivory,52017,1.49,1896.32
"12""x24""",13,NB01-Ivory,82017,1.49,8409.28
"8""x48""",16,RW04-Warm Brown,42017,1.87,9140.28
"12""x24""",13,MA02-Daino Reale,62017,1.65,8813.81
"12""x24""",13,OR03-Gray,82017,1.47,8364.6
"18""x36""",18,PR01-Bianco,12017,2.32,7602.27
"12""x24""",13,NB13-Toffee,72017,1.49,7187.36
"12""x24""",13,NB13-Toffee,92017,1.49,6939.52
"24""x24""",17,MA01-Statuary,22017,1.41,6924.03
"8""x48""",16,RW01-Beige,42017,1.74,6764.84
"12""x24""",13,TS03-Dark Gray,92017,1.29,6443.84
"24""x24""",17,OR01-Ivory,82017,1.49,5948.16
"12""x24""",13,MS02-Ivory,32017,2.19,5452.48
"12""x24""",13,OR03-Gray,72017,1.43,5406.01
"8""x48""",16,RW03-Dark Gray,42017,1.82,5293.1
"12""x24""",13,MA01-Statuary,42017,1.67,5204.64
"8""x48""",16,RW04-Warm Brown,22017,1.89,4970.35
"12""x24""",13,NB54-Ash Gray,82017,2.19,4863.86
"12""x24""",13,AE02-Light Gray,12017,1.71,4677.98
"12""x24""",13,MS02-Ivory,12017,2.22,4538.57
"12""x24""",13,TS02-Light Gray,92017,1.29,4461.12
"6""x48""",14,RW01-Beige,32017,1.99,4375.36
"12""x24""",13,OR03-Gray,22017,1.11,4337.2
"12""x24""",13,MA04-Marfil,92017,1.66,4213.28
"12""x24""",13,TS03-Dark Gray,52017,1.29,4166.81
"12""x24""",13,TS02-Light Gray,62017,1.29,4089.36
"12""x24""",13,MS02-Ivory,102016,1.63,3934.46
"24""x24""",17,MA04-Marfil,32017,1.59,3903.48
"12""x24""",13,MA04-Marfil,42017,1.62,3887.99
"12""x24""",13,MS02-Ivory,42017,2.02,3640.15
"12""x12""",9,TS01-Beige,72016,0.65,3578.4
"12""x12""",9,TS03-Dark Gray,72016,0.65,3578.4
"12""x12""",9,TS02-Light Gray,72016,0.65,3578.4
"12""x24""",13,OR03-Gray,92017,1.47,3516.23
"12""x24""",13,FB02-Silver,62017,1.97,3500.74
"12""x24""",13,TS03-Dark Gray,72016,0.65,3469.76
"12""x24""",13,TS02-Light Gray,72016,0.65,3469.76
"12""x24""",13,TS02-Light Gray,72017,1.29,3469.76
"12""x24""",13,TS01-Beige,72016,0.65,3469.76
"12""x12""",9,MA04-Marfil,52017,1.59,3439.95
"6""x36""",12,PR01-Bianco,22017,1.55,3393.04
"12""x24""",13,TS03-Dark Gray,72017,1.29,3345.84
"6""x48""",14,RW04-Warm Brown,92017,1.99,3310.56
"12""x24""",13,MA01-Statuary,12017,1.28,3299.37
"6""x48""",14,RW03-Dark Gray,92017,1.99,3281.52
"12""x24""",13,MS02-Ivory,52017,2.24,3144.47
"12""x24""",13,MA04-Marfil,22017,1.42,3113.49
"8""x48""",16,RW04-Warm Brown,72017,1.99,3020.94
"12""x24""",13,TM02-Gray,42017,0.62,3005.06
"12""x24""",13,OR01-Ivory,72017,1.44,3005.06
"24""x24""",17,MA02-Daino Reale,22017,1.29,3005.06
"12""x24""",13,TM03-Noce,92017,1.19,2974.08
"12""x24""",13,MS03-Light Gray,52017,2.19,2974.08
"12""x24""",13,TM01-Beige,92017,1.19,2974.08
"12""x24""",13,OR03-Gray,52017,1.14,2974.08
"12""x24""",13,TM02-Gray,92017,1.19,2974.08
"24""x24""",17,MA04-Marfil,22017,1.14,2974.08
"24""x24""",17,MA01-Statuary,42017,1.59,2974.08
"24""x24""",17,MA06-Bardigio,22017,1.14,2974.08
"24""x24""",17,MA05-Emperador Light,22017,1.14,2974.08
"24""x24""",17,MA03-Frost,22017,1.14,2974.08
"18""x36""",18,PR01-Bianco,42017,2.29,2914.86
"12""x12""",9,NB58-Nero,112016,2.19,2896.8
"8""x48""",16,RW02-Light Gray,102016,1.64,2788.56
"8""x48""",16,RW02-Light Gray,112016,0.76,2762.74
"12""x24""",13,AE03-Light Brown,32017,1.74,2741.73
"12""x24""",13,MA01-Statuary,72017,1.64,2741.73
"12""x24""",13,AE02-Light Gray,112016,1.76,2710.75
"12""x24""",13,OR03-Gray,62017,1.39,2695.26
"12""x24""",13,FB01-Ivory,22017,1.53,2617.81
