Shape code,month code,TOTAL_SF
13,8,4677.98
13,8,4538.57
13,8,3299.37
13,8,2571.34
13,8,2075.66
13,8,1703.9
13,8,1657.43
13,8,1564.49
13,8,1487.04
13,8,1425.08
13,8,1161.75
13,8,1068.81
13,8,1006.85
13,8,1006.85
13,8,588.62
13,8,557.64
13,8,526.66
13,8,526.66
13,8,495.68
13,8,495.68
13,8,495.68
13,8,356.27
13,8,309.8
13,8,263.33
13,8,185.88
13,8,108.43
13,8,108.43
13,8,108.43
13,8,92.94
13,8,92.94
13,8,77.45
13,8,61.96
13,8,61.96
13,8,61.96
13,8,46.47
13,8,46.47
13,8,15.49
13,8,15.49
13,8,15.49
13,8,15.49
13,8,15.49
13,8,15.49
13,8,15.49
16,8,2233.43
16,8,12.91
18,8,7602.27
18,8,630.24
17,8,2261.54
17,8,1254.69
17,8,387.25
17,8,170.39
17,8,123.92
9,8,1533.6
9,8,670.95
9,8,511.2
9,8,511.2
9,8,511.2
9,8,223.65
9,8,63.9
9,8,31.95
12,8,1115.52
12,8,151.06
14,8,503.36
5,8,42.6
5,8,42.6
5,8,40.66
5,8,24.2
5,8,23.56
5,8,21.3
5,8,21.3
5,8,21.3
5,8,16.14
5,8,13.88
5,8,11.3
5,8,10.65
5,8,10.32
5,8,9.68
5,8,6.78
5,8,5.81
10,8,1118.25
10,8,1075.65
10,8,1022.4
10,8,553.8
10,8,511.2
10,8,511.2
10,8,511.2
10,8,511.2
15,8,826.12
1,8,255.6
1,8,96.82
1,8,77.45
1,8,73.58
1,8,52.28
1,8,43.57
1,8,35.83
1,8,31.95
1,8,31.95
1,8,26.14
1,8,1.94
1,8,1.94
1,8,1.94
1,8,1.94
1,8,1.94
1,8,1.94
1,8,0.97
1,8,0.97
1,8,0.97
1,8,0.97
1,8,0.97
1,8,0.97
6,8,41.73
6,8,3.87
6,8,3.87
6,8,3.87
6,8,3.87
6,8,3.87
6,8,3.87
6,8,3.87
6,8,3.87
6,8,2.58
6,8,2.58
3,8,278.62
3,8,28.82
3,8,9.61
7,8,60
13,9,4337.2
13,9,3113.49
13,9,2617.81
13,9,2571.34
13,9,2571.34
13,9,2540.36
13,9,2060.17
13,9,2013.7
13,9,2013.7
13,9,2013.7
13,9,1998.21
13,9,1982.72
13,9,1982.72
13,9,1967.23
13,9,1487.04
13,9,1487.04
13,9,1487.04
13,9,1487.04
13,9,1487.04
13,9,1006.85
13,9,991.36
13,9,991.36
13,9,991.36
13,9,991.36
13,9,511.17
13,9,495.68
13,9,495.68
13,9,216.86
13,9,139.41
13,9,108.43
13,9,108.43
13,9,92.94
13,9,77.45
13,9,61.96
13,9,30.98
